Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BIRAT,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BLACK TWISTER,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Blu,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BUL BUL,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Bullet,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BUMPHER,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Captain,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Captain,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Charlee,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,DADA,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,DIL KHUSH,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Dil Se,600 ml,60,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,DILRUBA,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,DILWALE,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,DYNAMIC A1,600 ml,60,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,DYNAMIC BLAST,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,FANTUS,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Franky No. 1 Premium,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Galaxy Boss,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Globus Mahua,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Goldee Blue,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Goldee Red,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,GURU,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,HAPPY GOLD (PET),600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,HAPPY JIO,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Hero,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,HIMALAYAN FATA FATI,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Himalayan Gold,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,HIMALAYAN TUK TUK,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,JD,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,JELLA,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,jHAKAAAS PREMIUM,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Josh,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Joy,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,KACHI,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,KPS NO 1,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,KPS No1 Super Strong,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Leader,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MADIRA,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Magic Blue 80,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MARDAANA,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MASTAN,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MASTI,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MAYA,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MEJAJ,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Millennium Royal,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MOHARAJA BULET (PET),600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Monalisa Blue,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Monalisa Gold,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,MONALISA MITHI,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,NASHA STRONG,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,OYE OYE,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,P.K.BADSHA,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,P.K.SAHEB,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,PRAKASH60,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Premium RED,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,PURE GOLD,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Pure Mahua,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,PYTHON,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,QUEEN ROYAL SPIRIT,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,RAJA STRONG,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,RKDSTRONG80,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,SAKI,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Sengupta's Punch,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,SKD'S MOHUL,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,SMS Rocket,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,SULTAN PREMIUM,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
