Category,Type,Brand Name,Size,Opening Stock
IMFL,Rum,Black By Bacardi Deluxe Original Premium Crafted Rum,750 ml,11
IMFL,Rum,Black By Bacardi Original Premium Crafted Rum,750 ml,11
IMFL,Rum,Black Cat Special Rum,180 ml,11
IMFL,Rum,Black Cat Special Rum,375 ml,11
IMFL,Rum,Black Cat Special Rum,750 ml,11
IMFL,Rum,Brihans Tropicana Export Quality XXX Matured White Rum,750 ml,11
IMFL,Rum,Calypso Original XXX Rum,375 ml,11
IMFL,Rum,Calypso Original XXX Rum,500 ml,11
IMFL,Rum,Calypso Original XXX Rum,750 ml,11
IMFL,Rum,Commander N Chief Caribbean Gold XXX Rum,750 ml,11
IMFL,Rum,Contessa Matured XXX Rum,180 ml,11
IMFL,Rum,Contessa Matured XXX Rum,375 ml,11
IMFL,Rum,Contessa Matured XXX Rum,750 ml,11
IMFL,Rum,Contessa XXX Rum Blended With Matured Cane Juice Spirit,,11
IMFL,Rum,Cosmos Fifty XXX Rum,375 ml,11
IMFL,Rum,Cosmos Fifty XXX Rum,500 ml,11
IMFL,Rum,Cosmos Fifty XXX Rum,750 ml,11
IMFL,Rum,Emboss XXX Rum,375 ml,11
IMFL,Rum,Emboss XXX Rum,750 ml,11
IMFL,Rum,Episode Deluxe XXX Rum,180 ml,11
IMFL,Rum,Episode Deluxe XXX Rum,375 ml,11
IMFL,Rum,Episode Deluxe XXX Rum,750 ml,11
IMFL,Rum,Golden Monkey Dark Classic Rum,375 ml,11
IMFL,Rum,Golden Monkey Dark Classic Rum,500 ml,11
IMFL,Rum,Golden Monkey Dark Classic Rum,750 ml,11
IMFL,Rum,Hercules XXX Rum,,11
IMFL,Rum,Himalayan Bear Fine Indian Rum,375 ml,11
IMFL,Rum,Himalayan Bear Fine Indian Rum,500 ml,11
IMFL,Rum,Himalayan Bear Fine Indian Rum,750 ml,11
IMFL,Rum,Jolly Roger Premium XXX Rum,,11
IMFL,Rum,Lord Nelson XXX Matured Rum,,11
IMFL,Rum,Madira XXX Rum,750 ml,11
IMFL,Rum,Mcdowells No.1 Celebration Matured XXX Rum,500 ml,83
IMFL,Rum,Mcdowells No.1 Celebration Matured XXX Rum,750 ml,63
IMFL,Rum,Mcdowells No.1 Celebration Matured XXX Rum,180 ml,377
IMFL,Rum,Mcdowells No.1 Celebration Matured XXX Rum,375 ml,204
IMFL,Rum,Night Fighter's Matured XXX Rum,375 ml,204
IMFL,Rum,Night Fighter's Matured XXX Rum,500 ml,204
IMFL,Rum,Night Fighter's Matured XXX Rum,750 ml,204
IMFL,Rum,Officer's Choice Original XXX Rum,750 ml,204
IMFL,Rum,Old Habbit XXX Rum,180 ml,204
IMFL,Rum,Old Habbit XXX Rum,375 ml,204
IMFL,Rum,Old Habbit XXX Rum,750 ml,204
IMFL,Rum,Old Monk Apple Rum,750 ml,204
IMFL,Rum,Old Monk Gold Reserve Select Rum,180 ml,204
IMFL,Rum,Old Monk Gold Reserve Select Rum,375 ml,204
IMFL,Rum,Old Monk Gold Reserve Select Rum,750 ml,204
IMFL,Rum,Old Monk Lemon Rum,750 ml,12
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,180 ml,111
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,375 ml,47
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,500 ml,38
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,750 ml,37
IMFL,Rum,Old Monk Orange Rum,750 ml,37
IMFL,Rum,Old Monk Supreme Deluxe XXX Rum Very Old Vatted,750 ml,37
IMFL,Rum,Old Monk The Legend Rum Very Old Vatted,750 ml,37
IMFL,Rum,Old Monk Very Old Vatted XXX Rum,,37
IMFL,Rum,Old Monk White Premium Rum,180 ml,37
IMFL,Rum,Old Monk White Premium Rum,375 ml,37
IMFL,Rum,Old Monk White Premium Rum,750 ml,37
IMFL,Rum,Old Port Deluxe Matured Rum,,37
IMFL,Rum,Red Indian XXX Deluxe Rum,180 ml,37
IMFL,Rum,Red Indian XXX Deluxe Rum,375 ml,37
IMFL,Rum,Red Indian XXX Deluxe Rum,750 ml,37
IMFL,Rum,Rock The Real Rum,180 ml,37
IMFL,Rum,Rock The Real Rum,375 ml,37
IMFL,Rum,Rock The Real Rum,750 ml,37
IMFL,Rum,Royal Gentleman XXX Rum,375 ml,37
IMFL,Rum,Royal Gentleman XXX Rum,500 ml,37
IMFL,Rum,Royal Gentleman XXX Rum,750 ml,37
IMFL,Rum,Rumba Rum,375 ml,37
IMFL,Rum,Rumba Rum,500 ml,37
IMFL,Rum,Rumba Rum,750 ml,37
IMFL,Rum,Rumbola Matured XXX Rum,375 ml,37
IMFL,Rum,Rumbola Matured XXX Rum,500 ml,37
IMFL,Rum,Rumbola Matured XXX Rum,750 ml,37
IMFL,Rum,Seneor XXX Rum,375 ml,37
IMFL,Rum,Seneor XXX Rum,750 ml,37
IMFL,Rum,Skd's Exxober,375 ml,37
IMFL,Rum,Skd's Exxober,500 ml,37
IMFL,Rum,Skd's Exxober,750 ml,37
IMFL,Rum,Sspl Port Jamaica,375 ml,37
IMFL,Rum,Sspl Port Jamaica,500 ml,37
IMFL,Rum,Sspl Port Jamaica,750 ml,37
IMFL,Rum,Top 10 XXX Rum,375 ml,37
IMFL,Rum,Top 10 XXX Rum,500 ml,37
IMFL,Rum,Top 10 XXX Rum,750 ml,37
IMFL,Rum,Tuff XXX Rum,,37
IMFL,Rum,Very Old Vatted Old Monk Premium Rum,180 ml,37
IMFL,Rum,Very Old Vatted Old Monk Premium Rum,375 ml,37
IMFL,Rum,Very Old Vatted Old Monk Premium Rum,750 ml,37
IMFL,Rum,XXX Wonder Blend Dark Rum,500 ml,37
IMFL,Rum,XXX Wonder Blend Dark Rum,750 ml,37
IMFL,Vodka,Eristoff Triple Distilled Premium Vodka,750 ml,37
IMFL,Vodka,Fine Grain Voltage + Vodka,250  ml,37
IMFL,Vodka,Fine Grain Voltage + Vodka,375 ml,37
IMFL,Vodka,Fine Grain Voltage + Vodka,500 ml,37
IMFL,Vodka,Fine Grain Voltage + Vodka,750 ml,37
IMFL,Vodka,Gladiator Vintage Vodka,375 ml,37
IMFL,Vodka,Gladiator Vintage Vodka,500 ml,37
IMFL,Vodka,Gladiator Vintage Vodka,750 ml,37
IMFL,Vodka,Knight Rider Ultra Premium Green Apple Vodka,180 ml,37
IMFL,Vodka,Knight Rider Ultra Premium Green Apple Vodka,375 ml,37
IMFL,Vodka,Knight Rider Ultra Premium Green Apple Vodka,750 ml,37
IMFL,Vodka,Knight Rider Ultra Premium Vodka,180 ml,37
IMFL,Vodka,Knight Rider Ultra Premium Vodka,375 ml,37
IMFL,Vodka,Knight Rider Ultra Premium Vodka,750 ml,37
IMFL,Vodka,M2 Magic Moments Grain Vodka,,37
IMFL,Vodka,M2 Magic Moments Remix Green Apple Flavoured Vodka,,37
IMFL,Vodka,M2 Magic Moments Remix Orange Flavoured Vodka,,37
IMFL,Vodka,M2 Verve Magic Moments Super Premium Vodka,,37
IMFL,Vodka,Magic Moments Pure Grain Vodka,750 ml,37
IMFL,Vodka,Magic Moments Pure Grain Vodka,180 ml,37
IMFL,Vodka,Magic Moments Pure Grain Vodka,375 ml,37
IMFL,Vodka,Magic Moments Remix Flavoured Vodka Chocolate,180 ml,37
IMFL,Vodka,Magic Moments Remix Flavoured Vodka Chocolate,375 ml,37
IMFL,Vodka,Magic Moments Remix Grapefruit & Watermelon Smooth Flavoured Vodka,180 ml,37
IMFL,Vodka,Magic Moments Remix Grapefruit & Watermelon Smooth Flavoured Vodka,375 ml,37
IMFL,Vodka,Magic Moments Remix Grapefruit & Watermelon Smooth Flavoured Vodka,750 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Green Apple Flavoured Vodka,180 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Green Apple Flavoured Vodka,375 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Green Apple Flavoured Vodka,750 ml,37
